FPS|deltaTimeS|renderingMode|numTris|numDrawCalls|objectCount
98.02668|0.0102013|instanced|1436362|16|1
93.57253|0.0106869|instanced|1436362|16|1
77.97878|0.012824|instanced|1794970|17|1
64.10423|0.0155996|instanced|1794970|17|1
63.90714|0.0156477|instanced|1794970|17|1
63.77308|0.0156806|instanced|1794970|17|1
75.32615|0.0132756|instanced|1794970|17|1
81.42992|0.0122805|instanced|1794970|16|1
120.6913|0.008285601|instanced|1794970|17|1
124.3952|0.008038896|instanced|1794970|17|1
106.4395|0.009395004|instanced|1794970|17|1
128.5711|0.007777799|instanced|1794970|17|1
169.3051|0.005906498|instanced|1794970|17|1
107.8004|0.009276403|instanced|1436362|17|1
37.77676|0.0264713|instanced|1794970|17|1
58.04302|0.0172286|instanced|1794970|17|1
106.9382|0.009351198|instanced|1794970|17|1
140.9582|0.007094303|instanced|1794970|17|1
146.899|0.006807398|instanced|1794970|17|1
148.8206|0.006719501|instanced|1794970|17|1
143.9947|0.0069447|instanced|1794969|15|1
122.0883|0.008190795|instanced|1794969|15|1
130.8232|0.007643906|instanced|1794970|17|1
120.5313|0.008296599|instanced|1794970|17|1
117.8273|0.008486997|instanced|1794970|17|1
96.68184|0.0103432|instanced|1794970|17|1
50.94555|0.0196288|instanced|1794970|17|1
47.35029|0.0211192|instanced|1794970|17|1
109.1786|0.009159304|instanced|1794970|17|1
81.9995|0.0121952|instanced|1794970|17|1
106.7873|0.009364407|instanced|1794970|17|1
86.95427|0.0115003|instanced|1794970|17|1
107.3699|0.009313598|instanced|1436362|17|1
97.97966|0.0102062|instanced|1794970|17|1
119.5029|0.008367999|instanced|1794970|17|1
104.3253|0.009585403|instanced|1794970|17|1
103.6936|0.0096438|instanced|1436362|17|1
91.04398|0.0109837|instanced|1794970|17|1
107.3469|0.009315597|instanced|1794970|17|1
104.3743|0.009580903|instanced|1794970|17|1
104.8262|0.009539598|instanced|1794970|17|1
95.25442|0.0104982|instanced|1436362|16|1
89.46543|0.0111775|instanced|1794970|17|1
103.5969|0.009652799|instanced|1794970|17|1
86.63483|0.0115427|instanced|1436362|17|1
92.0336|0.0108656|instanced|1794970|17|1
98.5503|0.0101471|instanced|1794970|17|1
92.66209|0.0107919|instanced|1436362|16|1
83.76262|0.0119385|instanced|1077754|15|1
93.9399|0.0106451|instanced|1436362|17|1
93.60846|0.0106828|instanced|1436362|17|1
87.85336|0.0113826|instanced|1794970|17|1
92.47785|0.0108134|instanced|1794970|17|1
121.2018|0.008250701|instanced|1794970|17|1
109.7563|0.009111097|instanced|1794970|17|1
105.084|0.009516199|instanced|1794970|17|1
92.71017|0.0107863|instanced|1794970|17|1
98.58624|0.0101434|instanced|1794970|17|1
122.9575|0.008132894|instanced|1794970|17|1
98.8474|0.0101166|instanced|1794970|17|1
102.5883|0.009747697|instanced|1436362|16|1
113.5073|0.008810006|instanced|1794970|17|1
107.3999|0.009310998|instanced|1794970|17|1
103.7054|0.009642702|instanced|1794970|17|1
103.9318|0.009621697|instanced|1794970|17|1
120.5575|0.008294798|instanced|1436362|16|1
109.8346|0.009104599|instanced|1794970|16|1
101.4302|0.009858999|instanced|1794970|17|1
97.64577|0.0102411|instanced|1794970|17|1
107.1719|0.009330804|instanced|1436362|16|1
88.99012|0.0112372|instanced|1794970|17|1
112.3217|0.008902998|instanced|1436362|16|1
103.4512|0.009666397|instanced|1436362|15|1
96.80068|0.01033051|instanced|1794970|16|1
119.3276|0.008380293|instanced|1436362|17|1
116.8853|0.008555399|instanced|1794970|17|1
103.1246|0.009697002|instanced|1794970|17|1
103.5743|0.009654904|instanced|1436362|17|1
87.39888|0.01144179|instanced|1436362|16|1
89.20766|0.0112098|instanced|1436362|16|1
83.3736|0.0119942|instanced|1794970|17|1
94.86855|0.0105409|instanced|1436362|16|1
109.8563|0.009102799|instanced|1794970|16|1
96.72584|0.0103385|instanced|1436362|17|1
110.4423|0.0090545|instanced|1436362|17|1
96.0993|0.0104059|instanced|1794970|17|1
117.426|0.008516001|instanced|1794970|17|1
90.23889|0.0110817|instanced|1436362|16|1
88.49086|0.0113006|instanced|1794970|17|1
95.58495|0.0104619|instanced|1794970|17|1
89.2594|0.0112033|instanced|1794970|17|1
122.1554|0.008186296|instanced|1794970|17|1
117.8606|0.008484602|instanced|1794970|17|1
109.2311|0.009154904|instanced|1794970|17|1
112.4822|0.008890299|instanced|1794970|17|1
112.9152|0.008856201|instanced|1436362|15|1
81.22622|0.0123113|instanced|1794970|17|1
129.9663|0.007694303|instanced|1794970|17|1
124.0957|0.008058297|instanced|1794970|17|1
108.9075|0.0091821|instanced|1794970|17|1
121.399|0.008237301|instanced|1794970|17|1
110.2949|0.009066603|instanced|1794970|17|1
106.6371|0.009377601|instanced|1794970|17|1
104.7077|0.009550397|instanced|1436362|16|1
92.88072|0.0107665|instanced|1794970|17|1
99.02358|0.0100986|instanced|1794970|17|1
110.6366|0.009038598|instanced|1794970|16|1
111.3722|0.008978898|instanced|1794970|17|1
90.64783|0.0110317|instanced|1794970|17|1
93.52874|0.0106919|instanced|1794970|17|1
129.1673|0.007741901|instanced|1436362|16|1
90.38489|0.0110638|instanced|1794970|17|1
109.884|0.009100503|instanced|1794970|17|1
101.2833|0.009873299|instanced|1794970|17|1
113.8097|0.0087866|instanced|1436362|15|1
94.26936|0.0106079|instanced|1794970|17|1
116.3657|0.008593601|instanced|1794970|16|1
89.4079|0.01118469|instanced|1794970|16|1
100.6714|0.009933305|instanced|1794970|17|1
