deltaTimeS|cameraDistance|lod_level
0.005468998|3.045983|0
0.004953302|3.045983|0
0.0057821|3.045983|0
0.005291397|3.045983|0
0.005522002|3.045983|0
0.005582001|3.045983|0
0.005069395|3.045983|0
0.004796499|3.045983|0
0.005779606|3.045983|0
0.005765696|3.045983|0
0.006332001|3.045983|0
0.007003798|3.045983|0
0.009039002|3.045983|0
0.009207802|3.045983|0
0.0126722|3.045983|0
0.006445096|3.045983|0
0.0088152|3.045983|0
0.0058875|3.045983|0
0.005124703|3.045983|0
0.005524596|3.045983|0
0.0072303|3.045983|0
0.0060571|3.045983|0
0.0086876|3.045983|0
0.005528501|3.045983|0
0.004594402|3.045983|0
0.005766497|3.045983|0
0.006486706|3.045983|0
0.0055518|3.045983|0
0.007068998|3.045983|0
0.005258702|3.045983|0
0.004963294|3.045983|0
0.005886005|3.045983|0
0.006262797|3.045983|0
0.007547201|3.045983|0
0.006951403|3.045983|0
0.005553997|3.045983|0
0.005448597|3.045983|0
0.0079143|3.045983|0
0.007121003|3.045983|0
0.006674001|3.045983|0
0.007373101|3.045983|0
0.006257497|3.045983|0
0.007209304|3.045983|0
0.006404599|3.045983|0
0.005689499|3.045983|0
0.005629698|3.045983|0
0.005194303|3.045983|0
0.005278897|3.045983|0
0.006609304|3.045983|0
0.007342496|3.045983|0
0.006611005|3.045983|0
0.006667496|3.045983|0
0.007033404|3.045983|0
0.004943998|3.045983|0
0.0085911|3.045983|0
0.007154896|3.045983|0
0.007653104|3.045983|0
0.006387798|3.045983|0
0.007514604|3.045983|0
0.008197797|3.045983|0
0.007464002|3.045983|0
0.0062169|3.045983|0
0.005610899|3.045983|0
0.006414597|3.045983|0
0.008117304|3.045983|0
0.006463896|3.045983|0
0.005933099|3.045983|0
0.007162202|3.045983|0
0.006864102|3.045983|0
0.008430895|3.045983|0
0.008354804|3.045983|0
0.005461799|3.045983|0
0.0049696|3.045983|0
0.005664796|3.045983|0
0.006354004|3.045983|0
0.006142198|3.045983|0
0.005725602|3.045983|0
0.004894296|3.045983|0
0.004581101|3.045983|0
0.005611104|3.045983|0
0.005625397|3.045983|0
0.0073196|3.045983|0
0.006261104|3.045983|0
0.004685098|3.045983|0
0.004717899|3.045983|0
0.005574901|3.045983|0
0.006372499|3.045983|0
0.005589399|3.045983|0
0.006170699|3.045983|0
0.005497399|3.045983|0
0.005584602|3.045983|0
0.007393204|3.045983|0
0.006857299|3.045983|0
0.005734198|3.045983|0
0.006624603|3.045983|0
0.005968998|3.045983|0
0.005132802|3.045983|0
0.006910495|3.045983|0
0.008220104|3.045983|0
0.005389796|3.045983|0
0.005396507|3.045983|0
0.005013194|3.045983|0
0.004622605|3.045983|0
0.0063045|3.045983|0
0.006348696|3.045983|0
0.005474405|3.045983|0
0.005256193|3.045983|0
0.005705903|3.045983|0
0.004642099|3.045983|0
0.006619402|3.045983|0
0.006235502|3.045983|0
0.006860296|3.045983|0
0.005700404|3.045983|0
0.004789498|3.045983|0
0.005664598|3.045983|0
0.007306505|3.045983|0
0.005624497|3.045983|0
0.005828997|3.045983|0
0.005610601|3.045983|0
0.004699901|3.045983|0
