deltaTimeS;cameraDistance;cameraPosition;cameraSpeed (from position);rotationAngularSpeed;;;DeltaTime ;FPS;;;;;;
0,0095400020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065929000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065215980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066393000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073700040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0089164960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077930980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0058759990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075967050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0082334960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0081598990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066563000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075048050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0082337020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0079192960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0097205990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077284020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0097014030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0098076960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0062534010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0062170990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0080097010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0102689000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070024020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057845030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0076411990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075482000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078245960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078710040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0076980020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075540960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0072963010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067423960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0071890020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073246030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066404980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077503970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067506020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075304990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0072908020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078500000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
