timestamp|mode|fps|frametime_ms|render_texture_width|render_texture_height|secondary_camera_enabled|secondary_camera_update_rate|draw_calls|batches|tris|visible_object_count
78.94958|baseline|92.18715|10.8475|0|0|False|1:1|132|132|40884258|60
78.96011|baseline|93.15233|10.7351|0|0|False|1:1|132|132|40884258|60
78.97098|baseline|94.04244|10.6335|0|0|False|1:1|132|132|40884258|60
78.98154|baseline|92.63033|10.7956|0|0|False|1:1|132|132|40884258|60
78.99269|baseline|91.26|10.9577|0|0|False|1:1|132|132|40884258|60
79.00335|baseline|92.10562|10.8571|0|0|False|1:1|132|132|40884258|60
79.01452|baseline|91.23505|10.9607|0|0|False|1:1|132|132|40884258|60
79.02552|baseline|91.69012|10.9063|0|0|False|1:1|132|132|40884258|60
79.03622|baseline|90.96365|10.9934|0|0|False|1:1|132|132|40884258|60
79.0473|baseline|91.43195|10.9371|0|0|False|1:1|132|132|40884258|60
79.05844|baseline|88.49946|11.2995|0|0|False|1:1|133|133|40884260|60
79.06968|baseline|91.25842|10.95789|0|0|False|1:1|132|132|40884258|60
79.08717|baseline|56.6678|17.64671|0|0|False|1:1|132|132|40884258|60
79.10596|baseline|55.12498|18.1406|0|0|False|1:1|132|132|40884258|60
79.11376|baseline|117.1056|8.539299|0|0|False|1:1|132|132|40884258|60
79.12504|baseline|90.53297|11.0457|0|0|False|1:1|132|132|40884258|60
79.13566|baseline|92.09119|10.8588|0|0|False|1:1|132|132|40884258|60
79.14665|baseline|92.72912|10.7841|0|0|False|1:1|132|132|40884258|60
79.15733|baseline|92.12173|10.8552|0|0|False|1:1|132|132|40884258|60
79.16867|baseline|90.65441|11.0309|0|0|False|1:1|132|132|40884258|60
79.17912|baseline|92.44877|10.8168|0|0|False|1:1|132|132|40884258|60
79.19007|baseline|92.96014|10.7573|0|0|False|1:1|132|132|40884258|60
79.20057|baseline|93.49899|10.6953|0|0|False|1:1|132|132|40884258|60
79.21165|baseline|91.59104|10.9181|0|0|False|1:1|132|132|40884258|60
79.22241|baseline|91.98531|10.8713|0|0|False|1:1|132|132|40884258|60
79.23386|baseline|87.96777|11.3678|0|0|False|1:1|133|133|40884260|60
79.24526|baseline|88.1065|11.3499|0|0|False|1:1|132|132|40884258|60
79.25578|baseline|93.51826|10.6931|0|0|False|1:1|132|132|40884258|60
79.26678|baseline|92.20498|10.8454|0|0|False|1:1|132|132|40884258|60
79.27729|baseline|93.71022|10.6712|0|0|False|1:1|132|132|40884258|60
79.28829|baseline|93.07172|10.7444|0|0|False|1:1|132|132|40884258|60
79.29881|baseline|93.02933|10.7493|0|0|False|1:1|132|132|40884258|60
79.31007|baseline|90.55756|11.0427|0|0|False|1:1|132|132|40884258|60
79.32054|include_secondary_view|93.30618|10.7174|2048|2048|True|1:1|132|132|40884258|61
79.3493|include_secondary_view|35.34194|28.295|2048|2048|True|1:1|253|253|75314032|61
79.36858|include_secondary_view|51.48774|19.4221|2048|2048|True|1:1|253|253|75314032|61
79.38802|include_secondary_view|51.32416|19.484|2048|2048|True|1:1|253|253|75314032|61
79.40762|include_secondary_view|51.0707|19.5807|2048|2048|True|1:1|253|253|75314032|61
79.42725|include_secondary_view|51.06756|19.5819|2048|2048|True|1:1|253|253|75314032|61
79.44699|include_secondary_view|50.60421|19.7612|2048|2048|True|1:1|253|253|75314032|61
79.46642|include_secondary_view|51.35184|19.4735|2048|2048|True|1:1|254|254|75314034|61
79.48638|include_secondary_view|50.24444|19.9027|2048|2048|True|1:1|253|253|75314032|61
79.50589|include_secondary_view|51.25341|19.5109|2048|2048|True|1:1|253|253|75314032|61
79.52567|include_secondary_view|50.41339|19.836|2048|2048|True|1:1|253|253|75314032|61
79.5453|include_secondary_view|51.00739|19.605|2048|2048|True|1:1|253|253|75314032|61
79.56518|include_secondary_view|50.39484|19.8433|2048|2048|True|1:1|253|253|75314032|61
79.58429|include_secondary_view|52.21716|19.15079|2048|2048|True|1:1|253|253|75314032|61
79.60345|include_secondary_view|51.38138|19.4623|2048|2048|True|1:1|253|253|75314032|61
79.62486|include_secondary_view|47.60204|21.0075|2048|2048|True|1:1|253|253|75314032|61
79.64597|include_secondary_view|47.29944|21.1419|2048|2048|True|1:1|253|253|75314032|61
79.66545|include_secondary_view|51.20749|19.52839|2048|2048|True|1:1|253|253|75314032|61
79.68499|include_secondary_view|51.27389|19.5031|2048|2048|True|1:1|253|253|75314032|61
79.70477|include_secondary_view|50.63215|19.7503|2048|2048|True|1:1|253|253|75314032|61
79.72456|include_secondary_view|50.35651|19.8584|2048|2048|True|1:1|253|253|75314032|61
79.74377|include_secondary_view|51.28995|19.497|2048|2048|True|1:1|253|253|75314032|61
79.76352|include_secondary_view|51.24683|19.5134|2048|2048|True|1:1|254|254|75314034|61
79.78338|include_secondary_view|50.50225|19.8011|2048|2048|True|1:1|253|253|75314032|61
79.80302|include_secondary_view|51.08921|19.5736|2048|2048|True|1:1|253|253|75314032|61
79.82275|include_secondary_view|50.61676|19.7563|2048|2048|True|1:1|253|253|75314032|61
79.84232|include_secondary_view|51.00947|19.6042|2048|2048|True|1:1|253|253|75314032|61
79.862|include_secondary_view|50.94452|19.6292|2048|2048|True|1:1|253|253|75314032|61
79.88152|include_secondary_view|51.03212|19.5955|2048|2048|True|1:1|253|253|75314032|61
79.90127|include_secondary_view|51.10958|19.5658|2048|2048|True|1:1|253|253|75314032|61
79.92068|include_secondary_view|51.05975|19.5849|2048|2048|True|1:1|253|253|75314032|61
79.94019|include_secondary_view|51.31443|19.4877|2048|2048|True|1:1|253|253|75314032|61
79.95982|include_secondary_view|51.06573|19.5826|2048|2048|True|1:1|253|253|75314032|61
79.97932|include_secondary_view|51.22794|19.5206|2048|2048|True|1:1|253|253|75314032|61
79.99889|include_secondary_view|51.13155|19.5574|2048|2048|True|1:1|253|253|75314032|61
80.01868|include_secondary_view|50.49867|19.8025|2048|2048|True|1:1|253|253|75314032|61
80.03865|include_secondary_view|50.29372|19.8832|2048|2048|True|1:1|253|253|75314032|61
80.05833|include_secondary_view|50.64521|19.7452|2048|2048|True|1:1|254|254|75314034|61
80.07806|include_secondary_view|50.63857|19.7478|2048|2048|True|1:1|253|253|75314032|61
80.09779|include_secondary_view|50.74184|19.7076|2048|2048|True|1:1|253|253|75314032|61
80.11715|include_secondary_view|51.36661|19.4679|2048|2048|True|1:1|253|253|75314032|61
80.13802|include_secondary_view|47.99755|20.8344|2048|2048|True|1:1|253|253|75314032|61
80.15868|include_secondary_view|48.46722|20.6325|2048|2048|True|1:1|253|253|75314032|61
80.17844|include_secondary_view|50.66601|19.7371|2048|2048|True|1:1|253|253|75314032|61
